Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
IIEWJVIFRVWJOD-UHFFFAOYSA-N;LCEDQNDDFOCWGG-UHFFFAOYSA-N;CCC1CCCCC1;C1COCCN1C=O;-3.51980043
RRHGJUQNOFWUDK-UHFFFAOYSA-N;XEKOWRVHYACXOJ-UHFFFAOYSA-N;CC(=C)C=C;CCOC(=O)C;-3.28780677
RZXMPPFPUUCRFN-UHFFFAOYSA-N;HEDRZPFGACZZDS-UHFFFAOYSA-N;Cc1ccc(cc1)N;C(Cl)(Cl)Cl;-8.24015652
UHOVQNZJYSORNB-UHFFFAOYSA-N;JUJWROOIHBZHMG-UHFFFAOYSA-N;c1ccccc1;c1ccncc1;-4.51027038
DMEGYFMYUHOHGS-UHFFFAOYSA-N;BDERNNFJNOPAEC-UHFFFAOYSA-N;C1CCCCCC1;CCCO;-4.27020537
XDTMQSROBMDMFD-UHFFFAOYSA-N;OKKJLVBELUTLKV-UHFFFAOYSA-N;C1CCCCC1;CO;-3.31524936
VXNZUUAINFGPBY-UHFFFAOYSA-N;IMNFDUFMRHMDMM-UHFFFAOYSA-N;CCC=C;CCCCCCC;-2.47882689
OKKJLVBELUTLKV-UHFFFAOYSA-N;NZZFYRREKKOMAT-UHFFFAOYSA-N;CO;C(I)I;-2.56484442
ATUOYWHBWRKTHZ-UHFFFAOYSA-N;ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;CCC;CC(C)CO;-1.32324018
WVDDGKGOMKODPV-UHFFFAOYSA-N;JFDZBHWFFUWGJE-UHFFFAOYSA-N;c1ccc(cc1)CO;c1ccc(cc1)C#N;-8.00009151
SQCZQTSHSZLZIQ-UHFFFAOYSA-N;CSCPPACGZOOCGX-UHFFFAOYSA-N;CCCCCCl;CC(=O)C;-4.85687721
WSLDOOZREJYCGB-UHFFFAOYSA-N;DURPTKYDGMDSBL-UHFFFAOYSA-N;C(CCl)Cl;CCCCOCCCC;-4.16112684
UGFAIRIUMAVXCW-UHFFFAOYSA-N;JUJWROOIHBZHMG-UHFFFAOYSA-N;[C-]#[O+];c1ccncc1;1.27158354
XXROGKLTLUQVRX-UHFFFAOYSA-N;KZVBBTZJMSWGTK-UHFFFAOYSA-N;C=CCO;CCCCOCCOCCOCCCC;-4.63848954
CKAPSXZOOQJIBF-UHFFFAOYSA-N;IMNFDUFMRHMDMM-UHFFFAOYSA-N;c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl;CCCCCCC;-10.24300437
RYHBNJHYFVUHQT-UHFFFAOYSA-N;PHTQWCKDNZKARW-UHFFFAOYSA-N;C1COCCO1;CC(C)CCO;-4.55662299
ZGEGCLOFRBLKSE-UHFFFAOYSA-N;DKPFZGUDAPQIHT-UHFFFAOYSA-N;CCCCCC=C;CCCCOC(=O)C;-4.28381136
OFBQJSOFQDEBGM-UHFFFAOYSA-N;MTZQAGJQAFMTAQ-UHFFFAOYSA-N;CCCCC;CCOC(=O)c1ccccc1;-2.65086195
NUMQCACRALPSHD-UHFFFAOYSA-N;PMDCZENCAXMSOU-UHFFFAOYSA-N;CCOC(C)(C)C;CCNC(=O)C;-3.49258845
IJGRMHOSHXDMSA-UHFFFAOYSA-N;ZUHZGEOKBKGPSW-UHFFFAOYSA-N;N#N;COCCOCCOCCOCCOC;1.7134323
DKGAVHZHDRPRBM-UHFFFAOYSA-N;YNQLUTRBYVCPMQ-UHFFFAOYSA-N;CC(C)(C)O;CCc1ccccc1;-3.49789248
YXFVVABEGXRONW-UHFFFAOYSA-N;IMNFDUFMRHMDMM-UHFFFAOYSA-N;Cc1ccccc1;CCCCCCC;-4.73396208
AGEZXYOZHKGVCM-UHFFFAOYSA-N;DKGAVHZHDRPRBM-UHFFFAOYSA-N;c1ccc(cc1)CBr;CC(C)(C)O;-6.35745648
XBDQKXXYIPTUBI-UHFFFAOYSA-N;VZGDMQKNWNREIO-UHFFFAOYSA-N;CCC(=O)O;C(Cl)(Cl)(Cl)Cl;-3.98378775
IJGRMHOSHXDMSA-UHFFFAOYSA-N;OKKJLVBELUTLKV-UHFFFAOYSA-N;N#N;CO;1.10508312
NPNPZTNLOVBDOC-UHFFFAOYSA-N;KFZMGEQAYNKOFK-UHFFFAOYSA-N;CC(F)F;CC(C)O;-1.50080988
LRHPLDYGYMQRHN-UHFFFAOYSA-N;UAEPNZWRGJTJPN-UHFFFAOYSA-N;CCCCO;CC1CCCCC1;-4.17473283
